"yesterday","today","Cambio","Región","País","Casos totales","Casos últ. 7 / mil hab","Casos últ. 7 / mil hab ayer"
214,214,0,"Duarte","República Dominicana","774.0",NA,NA
215,215,0,"Espaillat","República Dominicana","529.0",NA,NA
216,216,0,"La Altagracia","República Dominicana","262.0",NA,NA
217,217,0,"La Romana","República Dominicana","447.0",NA,NA
218,218,0,"La Vega","República Dominicana","858.0",NA,NA
219,219,0,"María Trinidad Sánchez","República Dominicana","126.0",NA,NA
220,220,0,"Monseñor Nouel","República Dominicana","324.0",NA,NA
221,221,0,"Peravia","República Dominicana","101.0",NA,NA
222,222,0,"Puerto Plata","República Dominicana","343.0",NA,NA
223,223,0,"San Cristóbal","República Dominicana","805.0",NA,NA
224,224,0,"San Juan","República Dominicana","114.0",NA,NA
225,225,0,"San Pedro de Macorí­s","República Dominicana","126.0",NA,NA
226,226,0,"Sánchez Ramírez","República Dominicana","248.0",NA,NA
227,227,0,"Santiago","República Dominicana","1,352.0",NA,NA
228,228,0,"Santo Domingo","República Dominicana","3,698.0",NA,NA
